1,2,1
1,3,1
1,11,1
1,13,1
1,32,1
1,35,1
1,44,1
1,91,1
1,99,1
1,115,1
1,116,1
2,4,1
2,14,1
2,39,1
2,65,1
2,88,1
2,104,1
2,105,1
3,6,1
3,15,1
3,48,1
3,92,1
3,119,1
3,120,1
4,5,1
4,6,1
4,36,1
4,87,1
4,101,1
5,15,1
5,17,1
5,76,1
7,8,1
7,9,1
7,10,1
7,16,1
7,18,1
7,37,1
7,42,1
7,45,1
7,67,1
7,77,1
7,93,1
7,96,1
8,14,1
8,16,1
8,18,1
8,19,1
8,46,1
8,69,1
9,47,1
9,73,1
9,74,1
9,86,1
10,11,1
10,12,1
10,20,1
10,34,1
10,38,1
10,49,1
10,56,1
10,63,1
11,13,1
11,16,1
11,41,1
11,51,1
11,56,1
11,94,1
11,95,1
13,79,1
13,95,1
14,40,1
14,89,1
14,108,1
14,109,1
15,70,1
15,75,1
16,19,1
16,43,1
16,90,1
16,97,1
16,98,1
16,100,1
16,112,1
20,34,1
21,26,1
21,49,1
21,61,1
21,64,1
21,66,1
21,78,1
21,82,1
21,85,1
22,25,1
22,33,1
22,71,1
22,72,1
23,24,1
23,52,1
23,95,1
25,26,1
25,58,1
25,68,1
25,81,1
25,83,1
25,97,1
25,98,1
26,53,1
26,54,1
26,60,1
26,66,1
26,80,1
26,82,1
26,84,1
26,94,1
27,28,1
27,30,1
28,29,1
28,30,1
28,96,1
29,30,1
31,32,1
33,57,1
33,59,1
33,93,1
46,62,1
50,51,1
55,56,1
101,102,1
101,103,1
105,106,1
105,107,1
109,110,1
109,111,1
112,113,1
112,114,1
116,117,1
116,118,1
120,121,1
120,122,1
