1,2,1
1,3,1
1,7,1
1,9,1
1,21,1
1,23,1
1,31,1
1,72,1
1,90,1
1,91,1
2,3,1
2,4,1
2,10,1
2,24,1
2,27,1
2,47,1
2,68,1
2,69,1
2,80,1
2,82,1
2,83,1
3,4,1
3,34,1
3,73,1
3,93,1
3,94,1
4,12,1
4,52,1
4,57,1
4,58,1
5,6,1
5,7,1
5,10,1
5,11,1
5,13,1
5,14,1
5,25,1
5,29,1
5,32,1
5,33,1
5,49,1
5,51,1
5,59,1
5,74,1
5,77,1
6,55,1
6,56,1
6,67,1
7,8,1
7,9,1
7,11,1
7,15,1
7,26,1
7,28,1
7,35,1
7,36,1
7,40,1
7,45,1
7,75,1
7,76,1
9,76,1
10,70,1
10,85,1
10,86,1
11,14,1
11,30,1
11,71,1
11,78,1
11,79,1
11,88,1
16,17,1
16,35,1
16,38,1
16,39,1
16,43,1
16,44,1
16,46,1
16,48,1
16,60,1
16,61,1
16,63,1
16,65,1
16,66,1
16,75,1
17,22,1
17,41,1
17,50,1
17,53,1
17,54,1
17,62,1
17,64,1
17,78,1
17,79,1
18,37,1
18,76,1
19,20,1
20,77,1
22,42,1
22,74,1
80,81,1
83,84,1
86,87,1
88,89,1
91,92,1
94,95,1
